axis,source,term_id,term_name,term_size_in_background,query_size,intersection_size,raw_hypergeom_p,bh_q_within_source,significant_q_lt_0_05,intersection_genes,themes
cluster_11,GO:BP,GO:0055085,Solute carrier family 22 member 23,188,245,8,0.490141552561362,1.0,False,ABCC8;SFXN3;SLC17A2;SLC25A6;SLC2A3;SLC44A5;SLC60A1;VDAC2,
cluster_11,GO:BP,GO:0016567,Ubiquitin-conjugating enzyme E2Q-like protein 1,153,245,7,0.42168340526995096,1.0,False,CUL2;RNF10;RNF123;RNF144A;TRIM28;UBE2D2;WSB2,rna_protein_processing
cluster_11,GO:BP,GO:0001501,SH3 and PX domain-containing protein 2B,52,245,1,0.883450894039725,1.0,False,SPP2,rna_protein_processing
cluster_11,GO:BP,GO:0001654,SH3 and PX domain-containing protein 2B,23,245,2,0.23687428818610312,1.0,False,CHRDL1;PBX3,rna_protein_processing
cluster_11,GO:BP,GO:0006801,SH3 and PX domain-containing protein 2B,9,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0007507,SH3 and PX domain-containing protein 2B,73,245,2,0.8002154790339259,1.0,False,ERBB3;ID2,rna_protein_processing
cluster_11,GO:BP,GO:0010628,SH3 and PX domain-containing protein 2B,196,245,5,0.903189151462507,1.0,False,APP;CTCF;ID2;NAMPT;RDX,rna_protein_processing
cluster_11,GO:BP,GO:0022617,SH3 and PX domain-containing protein 2B,19,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0045600,SH3 and PX domain-containing protein 2B,22,245,1,0.5962982296992895,1.0,False,ID2,rna_protein_processing
cluster_11,GO:BP,GO:0048705,SH3 and PX domain-containing protein 2B,9,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0051496,SH3 and PX domain-containing protein 2B,28,245,3,0.10130133560762163,1.0,False,EVL;RAC1;RHOA,rna_protein_processing
cluster_11,GO:BP,GO:0060348,SH3 and PX domain-containing protein 2B,16,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0060612,SH3 and PX domain-containing protein 2B,10,245,1,0.3376043486282853,1.0,False,VPS13B,rna_protein_processing
cluster_11,GO:BP,GO:0072657,SH3 and PX domain-containing protein 2B,10,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:1904179,SH3 and PX domain-containing protein 2B,5,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:1904888,SH3 and PX domain-containing protein 2B,7,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0008285,Zinc finger and BTB domain-containing protein 7C,151,245,4,0.8651653171417618,1.0,False,APC;APP;CTCF;TNFRSF9,rna_protein_processing
cluster_11,GO:BP,GO:0000380,BCLAF1 and THRAP3 family member 3,9,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:1902459,BCLAF1 and THRAP3 family member 3,20,245,4,0.007502383185273534,0.8919006934065628,False,ACTB;PHF10;RBBP7;SMARCC1,
cluster_11,GO:BP,GO:0007131,Probable ATP-dependent DNA helicase HFM1,10,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0000956,NBAS subunit of NRZ tethering complex,6,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0006890,NBAS subunit of NRZ tethering complex,13,245,2,0.09430673314314005,1.0,False,ATP9B;COG7,
cluster_11,GO:BP,GO:0008104,Protein TESPA1,41,245,2,0.49701577013746634,1.0,False,YWHAB;YWHAQ,rna_protein_processing
cluster_11,GO:BP,GO:0050862,Protein TESPA1,8,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0090090,Transmembrane protein 131-like,55,245,4,0.18014775377696288,1.0,False,APC;APP;DDIT3;PPP2CA,rna_protein_processing;transport_trafficking
cluster_11,GO:BP,GO:1902004,Gamma-secretase-activating protein,14,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0006508,Probable inactive serine protease 37,149,245,5,0.7248428300398051,1.0,False,CTRL;LONP2;METAP2;NPEPL1;WFDC2,
cluster_11,GO:BP,GO:0007339,Probable inactive serine protease 37,6,245,1,0.2189001020725035,1.0,False,VDAC2,
cluster_11,GO:BP,GO:0016477,Probable inactive serine protease 37,105,245,5,0.41800188035766717,1.0,False,APC;NARS1;PTK2;RAC1;RHOA,
cluster_11,GO:BP,GO:0051604,Probable inactive serine protease 37,40,245,2,0.48390294636769443,1.0,False,AASDHPPT;RNF123,
cluster_11,GO:BP,GO:0000723,Structure-specific endonuclease subunit EME2,23,245,2,0.23687428818610312,1.0,False,PTGES3;RPA1,
cluster_11,GO:BP,GO:0006281,Structure-specific endonuclease subunit EME2,80,245,8,0.014745308438118313,0.8919006934065628,False,GADD45A;GTF2H2;MSH2;PARP4;PSMA4;RPA1;TRIM28;UNG,
cluster_11,GO:BP,GO:0006302,Structure-specific endonuclease subunit EME2,26,245,2,0.28236115148572677,1.0,False,HMGB1;SMC5,
cluster_11,GO:BP,GO:0031297,Structure-specific endonuclease subunit EME2,15,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0016236,Vacuolar protein sorting-associated protein 37C,30,245,3,0.1185442510980401,1.0,False,PDCD6IP;VPS13D;VTA1,rna_protein_processing
cluster_11,GO:BP,GO:0036258,Vacuolar protein sorting-associated protein 37C,9,245,2,0.048344328459922536,1.0,False,PDCD6IP;VTA1,rna_protein_processing
cluster_11,GO:BP,GO:0039702,Vacuolar protein sorting-associated protein 37C,7,245,1,0.2504271984468424,1.0,False,PDCD6IP,rna_protein_processing
cluster_11,GO:BP,GO:0043328,Vacuolar protein sorting-associated protein 37C,5,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0090148,Vacuolar protein sorting-associated protein 37C,11,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0007165,PH and SEC7 domain-containing protein 1,514,245,24,0.2522605089361292,1.0,False,APBB1;APPL1;CGB3;COPS3;DGKA;DPYSL5;DTNA;ERBB3;FAM3C;GRB2;HLA-E;HMGB1;IQGAP2;NAE1;NAMPT;NDRG2;NDRG4;PDE1A;PIK3R1;PTGES3;STMN1;ULK2;YWHAB;YWHAQ,rna_protein_processing
cluster_11,GO:BP,GO:0031175,PH and SEC7 domain-containing protein 1,63,245,7,0.012831288131764824,0.8919006934065628,False,APP;ATXN10;HMGB1;STMN1;STMN2;VPS13B;WNT7B,rna_protein_processing
cluster_11,GO:BP,GO:0032012,PH and SEC7 domain-containing protein 1,6,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0006888,Trafficking protein particle complex subunit 13,31,245,3,0.12754752678457387,1.0,False,MCFD2;RABGGTB;SEC24B,rna_protein_processing;transport_trafficking
cluster_11,GO:BP,GO:0000289,CCR4-NOT transcription complex subunit 1,5,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0001829,CCR4-NOT transcription complex subunit 1,5,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0017148,CCR4-NOT transcription complex subunit 1,34,245,3,0.15591397562638992,1.0,False,IFRD2;PAIP2B;SERBP1,
cluster_11,GO:BP,GO:0033147,CCR4-NOT transcription complex subunit 1,5,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0000045,Microtubule-associated protein 1 light chain 3 beta 2,20,245,1,0.5615362841942778,1.0,False,ULK2,rna_protein_processing
cluster_11,GO:BP,GO:0000422,Microtubule-associated protein 1 light chain 3 beta 2,10,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0097352,Microtubule-associated protein 1 light chain 3 beta 2,17,245,1,0.5037271698792746,1.0,False,LAMP2,rna_protein_processing
cluster_11,GO:BP,GO:0008284,Homeobox protein Nkx-2.6,202,245,9,0.4283499665308192,1.0,False,ACTB;AKR1C3;DNAJA2;NAMPT;NAP1L1;NOTCH2;PTK2;SDCBP;SMARCC1,rna_protein_processing
cluster_11,GO:BP,GO:0021854,Homeobox protein Nkx-2.6,9,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0030154,Homeobox protein Nkx-2.6,114,245,6,0.31146529749073554,1.0,False,CHRDL1;NDRG4;NOTCH2;PTK2;SPP1;WNT7B,rna_protein_processing
cluster_11,GO:BP,GO:0035050,Homeobox protein Nkx-2.6,9,245,1,0.30972957456678235,1.0,False,NDRG4,rna_protein_processing
cluster_11,GO:BP,GO:0043066,Homeobox protein Nkx-2.6,215,245,11,0.2495742057731873,1.0,False,DSTYK;ERBB3;GLO1;HSPA5;NAIP;NOTCH2;PIK3R1;PRDX2;PTK2;PTMA;UNG,rna_protein_processing
cluster_11,GO:BP,GO:0048565,Homeobox protein Nkx-2.6,6,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0060037,Homeobox protein Nkx-2.6,8,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0030178,Metalloprotease TIKI2,28,245,2,0.31259529635782074,1.0,False,APC;APP,
cluster_11,GO:BP,GO:0031334,Metalloprotease TIKI2,24,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0007399,RNA binding protein fox-1 homolog 3,163,245,8,0.33558803773453444,1.0,False,APC;ATXN10;DPYSL5;EVL;NAIP;NOTCH2;SCN2B;VPS13B,rna_protein_processing
cluster_11,GO:BP,GO:0043484,RNA binding protein fox-1 homolog 3,26,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0030335,TRPM8 channel-associated factor 2,123,245,5,0.5576024121755544,1.0,False,APC;HSPA5;PTK2;RHOA;SDCBP,
cluster_11,GO:BP,GO:0090314,TRPM8 channel-associated factor 2,13,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0007015,Oocyte-expressed protein homolog,51,245,4,0.14876683377088332,1.0,False,EVL;MARCKS;RAC1;WASL,rna_protein_processing
cluster_11,GO:BP,GO:0032880,Oocyte-expressed protein homolog,32,245,1,0.7329983431414168,1.0,False,HSP90AB1,rna_protein_processing
cluster_11,GO:BP,GO:0040019,Oocyte-expressed protein homolog,8,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0051302,Oocyte-expressed protein homolog,5,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:1905168,Oocyte-expressed protein homolog,10,245,2,0.05885660801325596,1.0,False,ACTB;ACTR2,rna_protein_processing
cluster_11,GO:BP,GO:2000781,Oocyte-expressed protein homolog,24,245,3,0.07025549091433676,1.0,False,ACTB;PHF10;SMARCC1,rna_protein_processing
cluster_11,GO:BP,GO:0032691,Glycolipid transfer protein domain-containing protein 2,12,245,0,1.0,1.0,False,,lipid_metabolism;rna_protein_processing
cluster_11,GO:BP,GO:0006338,RNA 2'-O-methyltransferase FBLL1,121,245,11,0.009284044990886966,0.8919006934065628,False,ACTB;HMGB1;HNRNPC;KDM2B;KDM4B;KDM5B;MLLT10;PHF10;RBBP7;SMARCC1;TNP1,rna_protein_processing
cluster_11,GO:BP,GO:0006364,RNA 2'-O-methyltransferase FBLL1,32,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0030182,RNA 2'-O-methyltransferase FBLL1,86,245,7,0.05757927034875402,1.0,False,ADNP;DPYSL5;ERBB3;FOS;ID2;TUBA1A;WNT7B,rna_protein_processing
cluster_11,GO:BP,GO:0048255,RNA 2'-O-methyltransferase FBLL1,14,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0035556,Ankyrin repeat and SOCS box protein 14,179,245,9,0.2958101443126512,1.0,False,DDIT3;DGKA;NOTCH2;PPP2CA;RAC1;SDCBP;STMN1;TLK1;WSB2,rna_protein_processing
cluster_11,GO:BP,GO:0001763,Fidgetin-like protein 2,5,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0030336,Fidgetin-like protein 2,65,245,1,0.9321029797570156,1.0,False,RBBP7,rna_protein_processing
cluster_11,GO:BP,GO:0048681,Fidgetin-like protein 2,6,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0031340,Putative annexin A2-like protein,7,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0051051,Putative annexin A2-like protein,6,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0051240,Putative annexin A2-like protein,25,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0008380,Serine/arginine repetitive matrix protein 3,38,245,4,0.06521724976037967,1.0,False,HNRNPC;PDCD7;RBM8A;SRRM1,rna_protein_processing
cluster_11,GO:BP,GO:0046676,Serine/arginine repetitive matrix protein 3,10,245,2,0.05885660801325596,1.0,False,ABCC8;HADH,rna_protein_processing
cluster_11,GO:BP,GO:0016579,Ubiquitin carboxyl-terminal hydrolase 27,26,245,1,0.6578013177994524,1.0,False,G3BP1,
cluster_11,GO:BP,GO:0043065,Ubiquitin carboxyl-terminal hydrolase 27,144,245,5,0.6965679965414144,1.0,False,APBB1;APC;APP;GADD45A;HMGB1,
cluster_11,GO:BP,GO:0050821,Ubiquitin carboxyl-terminal hydrolase 27,98,245,6,0.2025808715304789,1.0,False,COG7;HSP90AB1;LAMP2;PIK3R1;PTGES3;TUBA1A,
cluster_11,GO:BP,GO:0051607,Ubiquitin carboxyl-terminal hydrolase 27,43,245,1,0.8306980447933979,1.0,False,G3BP1,
cluster_11,GO:BP,GO:0071108,Ubiquitin carboxyl-terminal hydrolase 27,5,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0060337,TANK-binding kinase 1-binding protein 1,10,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0050890,Sine oculis-binding protein homolog,25,245,1,0.6433613114027705,1.0,False,APP,rna_protein_processing
cluster_11,GO:BP,GO:0090102,Sine oculis-binding protein homolog,11,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0001701,Zinc finger protein 850,16,245,2,0.13423590330538837,1.0,False,FUT8;WNT7B,rna_protein_processing
cluster_11,GO:BP,GO:0000712,Centromere protein X,7,245,1,0.2504271984468424,1.0,False,RMI1,rna_protein_processing
cluster_11,GO:BP,GO:0007059,Centromere protein X,32,245,1,0.7329983431414168,1.0,False,TLK1,rna_protein_processing
cluster_11,GO:BP,GO:0031398,Centromere protein X,28,245,2,0.31259529635782074,1.0,False,HSPA5;NDFIP1,rna_protein_processing
cluster_11,GO:BP,GO:0036297,Centromere protein X,11,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0051382,Centromere protein X,6,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0043068,Galectin-16,9,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0032435,PHD finger protein 20-like protein 1,14,245,1,0.4383313828517889,1.0,False,HSP90AB1,rna_protein_processing
cluster_11,GO:BP,GO:0042177,PHD finger protein 20-like protein 1,20,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0030513,Endosome/lysosome-associated apoptosis and autophagy regulator family member 2,16,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0007605,Glutaredoxin domain-containing cysteine-rich protein 1,37,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0006805,Aryl hydrocarbon receptor repressor,56,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0009410,Aryl hydrocarbon receptor repressor,104,245,4,0.6098495747164341,1.0,False,ABCC8;FOS;HADH;PARP4,
cluster_11,GO:BP,GO:0030522,Aryl hydrocarbon receptor repressor,19,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0035725,NALCN channel auxiliary factor 1,47,245,2,0.5710889726826849,1.0,False,SCN2B;SLC17A2,
cluster_11,GO:BP,GO:0007288,Sperm axonemal maintenance protein CFAP97D1,8,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0010526,BTB/POZ domain-containing protein 18,6,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0007141,BTB/POZ domain-containing protein 18,6,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0007283,BTB/POZ domain-containing protein 18,107,245,8,0.06628515000892213,1.0,False,KDM2B;PSMA4;PUM1;RPL15;RPL24;SPATC1L;TNP1;WFDC2,rna_protein_processing
cluster_11,GO:BP,GO:0032968,BTB/POZ domain-containing protein 18,17,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0001732,Eukaryotic translation initiation factor 3 subunit C-like protein,9,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0002183,Eukaryotic translation initiation factor 3 subunit C-like protein,13,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0006413,Eukaryotic translation initiation factor 3 subunit C-like protein,23,245,1,0.6126356815862525,1.0,False,EIF1,rna_protein_processing
cluster_11,GO:BP,GO:0071260,Transmembrane protein 150C,49,245,1,0.8679958997253353,1.0,False,GADD45A,rna_protein_processing;transport_trafficking
cluster_11,GO:BP,GO:0098655,Transmembrane protein 150C,18,245,0,1.0,1.0,False,,rna_protein_processing;transport_trafficking
cluster_11,GO:BP,GO:0034198,PRKCH upstream open reading frame 2,20,245,1,0.5615362841942778,1.0,False,WDR59,
cluster_11,GO:BP,GO:0010717,Mapk-regulated corepressor-interacting protein 1,6,245,0,1.0,1.0,False,,inflammatory_signaling;rna_protein_processing
cluster_11,GO:BP,GO:0006259,Deoxyribonuclease-2-alpha,13,245,2,0.09430673314314005,1.0,False,HMGB1;RAN,
cluster_11,GO:BP,GO:0043277,Deoxyribonuclease-2-alpha,9,245,1,0.30972957456678235,1.0,False,HMGB1,
cluster_11,GO:BP,GO:0000070,Kinesin-like protein KIF2A,18,245,1,0.5237943168308465,1.0,False,RAN,rna_protein_processing
cluster_11,GO:BP,GO:0000226,Kinesin-like protein KIF2A,50,245,2,0.6050609032432794,1.0,False,CSTPP1;TUBA1A,rna_protein_processing
cluster_11,GO:BP,GO:0007018,Kinesin-like protein KIF2A,29,245,3,0.10979082510204927,1.0,False,KIF1B;KIF3B;KIF3C,rna_protein_processing
cluster_11,GO:BP,GO:0007019,Kinesin-like protein KIF2A,6,245,2,0.02181516387246577,0.9369038799964245,False,STMN1;STMN2,rna_protein_processing
cluster_11,GO:BP,GO:0007052,Kinesin-like protein KIF2A,28,245,3,0.10130133560762163,1.0,False,KIF3B;RAN;STMN1,rna_protein_processing
cluster_11,GO:BP,GO:0030334,Kinesin-like protein KIF2A,45,245,2,0.5472950749831915,1.0,False,RAC1;RHOA,rna_protein_processing
cluster_11,GO:BP,GO:0090307,Kinesin-like protein KIF2A,23,245,2,0.23687428818610312,1.0,False,KIF3B;RHOA,rna_protein_processing
cluster_11,GO:BP,GO:0008217,Serine/threonine-protein kinase Sgk1,34,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0070294,Serine/threonine-protein kinase Sgk1,7,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:1901796,Serine/threonine-protein kinase Sgk1,17,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0000398,ATP-dependent RNA helicase DDX39A,76,245,7,0.032716217008105695,1.0,False,HNRNPC;IK;PDCD7;PRP4K;RBM3;RBM8A;SRRM1,rna_protein_processing
cluster_11,GO:BP,GO:0006405,ATP-dependent RNA helicase DDX39A,5,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0006406,ATP-dependent RNA helicase DDX39A,17,245,1,0.5037271698792746,1.0,False,RBM8A,rna_protein_processing
cluster_11,GO:BP,GO:0045824,ATP-dependent RNA helicase DDX39A,13,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0001666,PDZ and LIM domain protein 1,72,245,1,0.9492680483894304,1.0,False,TFAM,rna_protein_processing
cluster_11,GO:BP,GO:0006979,PDZ and LIM domain protein 1,72,245,4,0.3304257851380065,1.0,False,GPX1;NCOA7;PRDX2;PSMA4,rna_protein_processing
cluster_11,GO:BP,GO:0030036,PDZ and LIM domain protein 1,82,245,5,0.23499758435546642,1.0,False,GRB2;RAC1;RHOA;SDCBP;WASL,rna_protein_processing
cluster_11,GO:BP,GO:0043149,PDZ and LIM domain protein 1,6,245,1,0.2189001020725035,1.0,False,RHOA,rna_protein_processing
cluster_11,GO:BP,GO:0045893,PDZ and LIM domain protein 1,325,245,12,0.6675159951309302,1.0,False,ACTB;APBB1;CHURC1;CTCF;DDIT3;FOS;ID2;RBBP7;RNF10;SMARCC1;SPP1;TRIM28,rna_protein_processing
cluster_11,GO:BP,GO:0098609,PDZ and LIM domain protein 1,95,245,1,0.9805755774273236,1.0,False,CLSTN3,rna_protein_processing
cluster_11,GO:BP,GO:0006811,Phospholemman,92,245,1,0.9779796866198823,1.0,False,SFXN3,
cluster_11,GO:BP,GO:0006821,Phospholemman,25,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0006883,Phospholemman,12,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0006936,Phospholemman,31,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0008016,Phospholemman,16,245,1,0.4828179964692008,1.0,False,CAMK2D,
cluster_11,GO:BP,GO:0010248,Phospholemman,12,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0030007,Phospholemman,12,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0036376,Phospholemman,11,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:1902305,Phospholemman,10,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:1902476,Phospholemman,37,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:1902600,Phospholemman,59,245,1,0.912859743616661,1.0,False,ATP6V1A,
cluster_11,GO:BP,GO:1903278,Phospholemman,6,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:1990573,Phospholemman,24,245,1,0.6283145611519831,1.0,False,ABCC8,
cluster_11,GO:BP,GO:0006813,Potassium channel subfamily K member 1,54,245,1,0.8927391209095734,1.0,False,ABCC8,
cluster_11,GO:BP,GO:0035094,Potassium channel subfamily K member 1,17,245,1,0.5037271698792746,1.0,False,GPX1,
cluster_11,GO:BP,GO:0060078,Potassium channel subfamily K member 1,20,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0071468,Potassium channel subfamily K member 1,5,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0071805,Potassium channel subfamily K member 1,54,245,1,0.8927391209095734,1.0,False,ABCC8,
cluster_11,GO:BP,GO:0001867,Mannan-binding lectin serine protease 2,7,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0002752,Mannan-binding lectin serine protease 2,7,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0006956,Mannan-binding lectin serine protease 2,12,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0031638,Mannan-binding lectin serine protease 2,16,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:1903028,Mannan-binding lectin serine protease 2,8,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0017157,Ras-related protein Rab-27B,6,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0045921,Ras-related protein Rab-27B,15,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0048488,Ras-related protein Rab-27B,22,245,1,0.5962982296992895,1.0,False,CANX,rna_protein_processing
cluster_11,GO:BP,GO:0071985,Ras-related protein Rab-27B,8,245,1,0.280686769443798,1.0,False,VTA1,rna_protein_processing
cluster_11,GO:BP,GO:0099641,Ras-related protein Rab-27B,6,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0042981,Activator of apoptosis harakiri,99,245,5,0.3694434261150096,1.0,False,ACTB;NAE1;NAIP;NOTCH2;PRDX2,
cluster_11,GO:BP,GO:0043525,Activator of apoptosis harakiri,36,245,2,0.4294279359032358,1.0,False,APP;DDIT3,
cluster_11,GO:BP,GO:0090200,Activator of apoptosis harakiri,14,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0043123,Toll-like receptor 4,100,245,3,0.7749948737264224,1.0,False,NAMPT;NDFIP1;RHOA,
cluster_11,GO:BP,GO:0031663,Toll-like receptor 4,22,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0032496,Toll-like receptor 4,56,245,3,0.3944810571783007,1.0,False,ABCC8;FOS;RAC1,
